platform,concurrency,qps,read_qps,write_qps,p50_ms,p95_ms,errors
CognoDB,1,3.378,3.08,0.298,275.342,394.422,0
CognoDB,10,35.858,32.396,3.462,271.61,307.051,0
CognoDB,40,137.57,124.83,12.74,276.337,360.352,0
Neo4j AuraDB,1,12.811,11.565,1.246,75.128,86.425,0
Neo4j AuraDB,10,101.636,91.73,9.906,79.639,94.064,0
Neo4j AuraDB,40,462.178,416.787,45.391,82.149,97.549,0
FalkorDB,1,3.766,3.419,0.347,245.259,374.357,0
FalkorDB,10,39.57,35.815,3.754,251.308,266.385,0
FalkorDB,40,158.918,144.0,14.919,250.318,265.94,0
Memgraph,1,3.506,3.16,0.346,260.394,404.66,0
Memgraph,10,38.199,34.641,3.558,259.227,278.883,0
Memgraph,40,149.512,135.641,13.87,264.148,288.759,0
ArangoDB,1,3.143,2.844,0.299,294.83,415.148,0
ArangoDB,10,31.439,28.478,2.961,288.085,351.535,0
ArangoDB,40,111.204,101.278,9.925,295.796,393.748,0
