platform,workload,p50_ms,p95_ms,p99_ms,mean_ms,stdev_ms
CognoDB,point_lookup,275.712,547.725,614.443,319.577,89.785
CognoDB,indexed_lookup,275.953,585.15,650.065,319.571,95.952
CognoDB,traversal_1hop,344.946,614.84,647.238,401.68,130.435
CognoDB,traversal_2hop,566.059,1012.647,1275.099,593.09,223.534
CognoDB,traversal_3hop,307.629,872.171,3248.685,533.714,1643.663
CognoDB,aggregation_rating_counts,541.324,795.258,920.819,576.11,116.071
Neo4j AuraDB,point_lookup,80.413,92.56,149.882,82.365,12.959
Neo4j AuraDB,indexed_lookup,81.852,91.661,95.516,84.967,35.114
Neo4j AuraDB,traversal_1hop,79.832,91.243,379.912,87.164,60.283
Neo4j AuraDB,traversal_2hop,87.55,101.677,111.341,90.945,35.946
Neo4j AuraDB,traversal_3hop,81.337,92.278,95.367,84.9,35.045
Neo4j AuraDB,aggregation_rating_counts,105.991,120.334,132.629,110.965,44.231
FalkorDB,point_lookup,258.64,606.903,625.822,305.359,102.367
FalkorDB,indexed_lookup,257.165,398.104,519.145,282.073,62.819
FalkorDB,traversal_1hop,273.917,447.115,608.988,311.907,79.789
FalkorDB,traversal_2hop,293.834,522.399,654.102,316.996,88.431
FalkorDB,traversal_3hop,299.896,614.268,657.738,345.394,114.036
FalkorDB,aggregation_rating_counts,310.019,606.251,627.475,358.255,105.746
Memgraph,point_lookup,263.029,399.174,532.823,283.32,54.566
Memgraph,indexed_lookup,263.3,387.141,524.818,285.99,58.703
Memgraph,traversal_1hop,282.35,614.249,636.696,334.291,107.488
Memgraph,traversal_2hop,296.922,613.917,647.653,348.18,111.421
Memgraph,traversal_3hop,289.694,612.502,649.379,346.96,134.007
Memgraph,aggregation_rating_counts,299.541,612.84,618.837,345.58,104.421
ArangoDB,point_lookup,286.704,463.15,782.881,327.902,123.109
ArangoDB,indexed_lookup,301.638,604.774,641.655,337.129,90.964
ArangoDB,traversal_1hop,297.726,612.58,617.637,343.244,97.794
ArangoDB,traversal_2hop,1474.932,3731.032,5568.575,1670.55,1063.215
ArangoDB,traversal_3hop,437.303,2625.616,6306.363,799.03,1071.988
ArangoDB,aggregation_rating_counts,340.151,568.149,730.267,383.081,103.459
